,open,high,low,close,volume,edit_count,sentiment,neg_sentiment,tomorrow,target,RSI,Stoch_RSI,SMA(9),SMA(14),EMA(7),EMA(25),EMA(99),MACD,Signal Line,MACD Histogram,Fib23.599999999999998%,Fib38.2%,Fib50.0%,Fib61.8%,Fib78.60000000000001%,Fib100.0%,fib23.6%,fib38.2%,fib50.0%,fib61.8%,fib78.6%,fib100.0%,fib23.6%,fib38.2%,fib50.0%,fib61.8%,fib78.6%,fib100.0%,Tenkan-sen,Kijun-sen,Senkou Span A,Senkou Span B,Middle Band,Upper Band,Lower Band,OBV
2014-12-03,381.72198486328125,383.0260009765625,374.34600830078125,375.010009765625,13340100,13.833333333333334,-0.4420623729568823,0.7184860550548104,369.60400390625,0,46.75553654052464,0.7031263132021475,375.4381103515625,370.35892813546315,376.32198898415857,372.50957145762044,388.66145687456674,2.5979062838392792,2.201826191441913,0.3960800923973662,380.9775227050781,379.71024377441404,378.6860046386719,377.6617655029297,376.20352673339846,374.34600830078125,380.9775227050781,379.71024377441404,378.6860046386719,377.6617655029297,376.20352673339846,374.34600830078125,380.9775227050781,379.71024377441404,378.6860046386719,377.6617655029297,376.20352673339846,374.34600830078125,376.57798767089844,399.6234893798828,351.47900390625,378.73500061035156,374.5009475708008,397.13699150537747,351.86490363622414,-73331322.0
2014-12-04,375.7179870605469,378.6549987792969,367.7590026855469,369.60400390625,14529600,13.566666666666666,-0.4210143246526954,0.7045971661659214,376.85400390625,1,58.63172503731622,1.0,374.79988945855035,371.19921439034596,374.64249271468145,372.28606626136116,388.2803078152004,1.9752603621298022,2.156513025579491,-0.1812526634496887,376.0835437011719,374.4927282714844,373.2070007324219,371.92127319335935,370.0907458496094,367.7590026855469,376.0835437011719,374.4927282714844,373.2070007324219,371.92127319335935,370.0907458496094,367.7590026855469,376.0835437011719,374.4927282714844,373.2070007324219,371.92127319335935,370.0907458496094,367.7590026855469,373.0279998779297,400.6024932861328,351.47900390625,373.07798767089844,373.09024810791016,392.9547829500641,353.2257132657562,-87860922.0
2014-12-05,369.4419860839844,379.1919860839844,365.7560119628906,376.85400390625,15181800,13.266666666666667,-0.4099112736348634,0.6823749439436992,374.7850036621094,0,69.00968458510474,1.0,375.74255710177954,373.0567866734096,375.1953705125736,372.6374460801988,388.0517817370214,2.0432698495410477,2.1338643903718024,-0.09059454083075469,376.02109619140623,374.05944396972654,372.4739990234375,370.88855407714846,368.63131042480467,365.7560119628906,376.02109619140623,374.05944396972654,372.4739990234375,370.88855407714846,368.63131042480467,365.7560119628906,376.02109619140623,374.05944396972654,372.4739990234375,370.88855407714846,368.63131042480467,365.7560119628906,373.0279998779297,400.6024932861328,351.77625274658203,365.42649841308594,373.12629852294924,393.01668413525266,353.2359129106458,-72679122.0
2014-12-06,376.7569885253906,378.447998046875,370.94500732421875,374.7850036621094,7009320,12.633333333333333,-0.4354294544711942,0.6944961560649114,375.0950012207031,1,65.98341675225694,0.921417209909416,376.3108893500434,374.61857169015065,375.09277879995756,372.80264281726886,387.7864461755231,1.9082200569598626,2.0887355236894143,-0.18051546672955165,376.6772922363281,375.58185559082034,374.6965026855469,373.8111497802734,372.5506473388672,370.94500732421875,376.6772922363281,375.58185559082034,374.6965026855469,373.8111497802734,372.5506473388672,370.94500732421875,376.6772922363281,375.58185559082034,374.6965026855469,373.8111497802734,372.5506473388672,370.94500732421875,373.0279998779297,400.6024932861328,353.71875762939453,365.42649841308594,372.47144927978513,391.1412938298903,353.80160472968,-79688442.0
2014-12-07,374.83599853515625,376.2919921875,373.2749938964844,375.0950012207031,6491650,12.066666666666666,-0.4443837119064631,0.700051711620467,361.90899658203125,0,56.957602493525975,0.6870448058571905,376.1606682671441,375.1558576311384,375.09333440514393,372.9789780790715,387.5326172764267,1.805394867367113,2.0320673924249544,-0.2266725250578414,375.5799805908203,375.139498840332,374.7834930419922,374.42748724365237,373.92063153076174,373.2749938964844,375.5799805908203,375.139498840332,374.7834930419922,374.42748724365237,373.92063153076174,373.2749938964844,375.5799805908203,375.139498840332,374.7834930419922,374.42748724365237,373.92063153076174,373.2749938964844,376.6785125732422,400.6024932861328,353.91925048828125,365.42649841308594,371.85579986572264,389.218051785525,354.4935479459203,-73196792.0
2014-12-08,374.9649963378906,376.02899169921875,361.885986328125,361.90899658203125,18898700,11.1,-0.4512591263574264,0.7033850449538003,352.218994140625,0,37.05666676854298,0.1702792249301046,374.65155707465277,374.08500017438615,371.7972499493658,372.12744104083765,387.0201448625388,0.6523845069959862,1.7561308153391608,-1.1037463083431747,372.6912424316406,370.62636364746095,368.9574890136719,367.2886143798828,364.9125894775391,361.885986328125,372.6912424316406,370.62636364746095,368.9574890136719,367.2886143798828,364.9125894775391,361.885986328125,372.6912424316406,370.62636364746095,368.9574890136719,367.2886143798828,364.9125894775391,361.885986328125,372.9619903564453,400.6024932861328,376.2847442626953,365.42649841308594,371.1913497924805,389.0257679633124,353.3569316216486,-92095492.0
2014-12-09,361.8949890136719,363.0669860839844,344.95098876953125,352.218994140625,32915500,10.966666666666669,-0.4625653929639656,0.7089482633446048,346.364990234375,0,32.49155985675205,0.051737556444417694,371.7817789713542,372.4329289027623,366.9026859971806,370.59602204851365,386.32412184810056,-1.0313974174753753,1.1986251687762537,-2.230022586251629,358.79161071777344,356.1466751098633,354.0089874267578,351.87129974365234,348.8278121948242,344.95098876953125,358.79161071777344,356.1466751098633,354.0089874267578,351.87129974365234,348.8278121948242,344.95098876953125,358.79161071777344,356.1466751098633,354.0089874267578,351.87129974365234,348.8278121948242,344.95098876953125,364.49449157714844,381.6820068359375,391.3737487792969,373.1944885253906,369.77454986572263,388.9301002218701,350.6189995095752,-125010992.0
2014-12-10,352.2049865722656,352.3840026855469,346.364990234375,346.364990234375,16427700,10.666666666666666,-0.4700890627631345,0.7122815966779381,350.5060119628906,1,33.05404206196111,0.03473202279740629,368.1284450954861,370.86114283970426,361.7682620564792,368.7320965243492,385.524939215826,-2.8058320298249555,0.3977337290560119,-3.203565758880967,350.9635157470703,350.0847399291992,349.37449645996094,348.6642529907227,347.6530588989258,346.364990234375,350.9635157470703,350.0847399291992,349.37449645996094,348.6642529907227,347.6530588989258,346.364990234375,350.9635157470703,350.0847399291992,349.37449645996094,348.6642529907227,347.6530588989258,346.364990234375,364.49449157714844,377.15550231933594,393.30899810791016,373.1944885253906,369.2007995605469,390.43598335311117,347.9656157679826,-141438692.0
2014-12-11,344.3399963378906,361.35699462890625,338.76300048828125,350.5060119628906,32431300,10.6,-0.4714591658243336,0.7139482633446048,352.5419921875,1,35.86058320596662,0.09225619810096275,364.7052239312066,369.4922855922154,358.95269953308207,367.3300900196216,384.82456067076726,-3.833745368509881,-0.44856209045716666,-3.3851832780527142,356.0248120117187,352.7260888671875,350.05999755859375,347.39390625,343.598115234375,338.76300048828125,356.0248120117187,352.7260888671875,350.05999755859375,347.39390625,343.598115234375,338.76300048828125,356.0248120117187,352.7260888671875,350.05999755859375,347.39390625,343.598115234375,338.76300048828125,360.8945007324219,374.4810028076172,394.1469955444336,373.1944885253906,369.18370056152344,390.48156595600324,347.88583516704364,-109007392.0
2014-12-12,350.8330078125,352.9830017089844,349.2909851074219,352.5419921875,16989800,10.3,-0.4807468597553305,0.7167260411223827,347.3760070800781,0,31.035908639504115,0.0,362.20877753363715,367.78478567940846,357.35002269668655,366.19254403253535,384.1789093011019,-4.432986794080421,-1.2454470311818175,-3.187539762898603,352.11168579101565,351.5726513671875,351.1369934082031,350.70133544921873,350.08107666015627,349.2909851074219,352.11168579101565,351.5726513671875,351.1369934082031,350.70133544921873,350.08107666015627,349.2909851074219,352.11168579101565,351.5726513671875,351.1369934082031,350.70133544921873,350.08107666015627,349.2909851074219,358.9774932861328,374.4810028076172,394.24149322509766,373.1944885253906,369.16479949951173,390.5240197574751,347.80557924154834,-92017592.0
2014-12-13,352.3810119628906,352.3810119628906,346.5880126953125,347.3760070800781,11675900,10.166666666666666,-0.4817057683943508,0.7160315966779383,351.6319885253906,1,29.092619808625727,0.0,359.73900010850696,365.77657209123885,354.8565187925344,364.7451181131156,383.4428512566814,-5.264060947537303,-2.0491698144529145,-3.214891133084388,351.0138641357422,350.16808624267577,349.48451232910156,348.80093841552736,347.82771453857424,346.5880126953125,351.0138641357422,350.16808624267577,349.48451232910156,348.80093841552736,347.82771453857424,346.5880126953125,351.0138641357422,350.16808624267577,349.48451232910156,348.80093841552736,347.82771453857424,346.5880126953125,358.9774932861328,366.73199462890625,394.7667465209961,373.1944885253906,368.1549499511719,391.63550898092353,344.67439092142024,-103693492.0
2014-12-14,346.72698974609375,353.3160095214844,345.4179992675781,351.6319885253906,12415200,10.0,-0.5194403636193218,0.7350792157255572,345.3450012207031,0,30.84119141521616,0.043805114839525254,356.9365539550781,363.88978576660156,354.05038622574847,363.7364158371368,382.80663400205555,-5.515689631132034,-2.7424737777887387,-2.773215853343295,351.4520791015625,350.2989696044922,349.36700439453125,348.4350391845703,347.1081734619141,345.4179992675781,351.4520791015625,350.2989696044922,349.36700439453125,348.4350391845703,347.1081734619141,345.4179992675781,351.4520791015625,350.2989696044922,349.36700439453125,348.4350391845703,347.1081734619141,345.4179992675781,358.6054992675781,366.73199462890625,398.09324645996094,373.1944885253906,366.8914993286133,391.0986657093932,342.6843329478334,-91278292.0
2014-12-15,351.3609924316406,351.81500244140625,344.9339904785156,345.3450012207031,17264200,9.8,-0.5366793249923785,0.7428173109636524,327.06201171875,0,27.10263459817297,0.0,353.66544257269965,361.4683576311384,351.8740399744871,362.3216916358727,382.0574013464285,-6.151503802058755,-3.424279782642742,-2.7272240194160133,350.19108361816404,349.18645587158204,348.37449645996094,347.56253704833983,346.4065270385742,344.9339904785156,350.19108361816404,349.18645587158204,348.37449645996094,347.56253704833983,346.4065270385742,344.9339904785156,350.19108361816404,349.18645587158204,348.37449645996094,347.56253704833983,346.4065270385742,344.9339904785156,357.5274963378906,366.73199462890625,399.6367416381836,373.1944885253906,365.39134979248047,391.0661096105252,339.71658997443575,-108542492.0
2014-12-16,345.6730041503906,345.8590087890625,327.06201171875,327.06201171875,30864900,9.933333333333334,-0.5251332498031099,0.7371896053359468,319.7760009765625,0,19.939261739292178,0.0,348.3284437391493,357.59314400809154,345.67103291055287,359.6094085653248,380.9574935538749,-8.038018297361646,-4.347027485586523,-3.690990811775123,341.42291748046875,338.6785559082031,336.46051025390625,334.2424645996094,331.0845690917969,327.06201171875,341.42291748046875,338.6785559082031,336.46051025390625,334.2424645996094,331.0845690917969,327.06201171875,341.42291748046875,338.6785559082031,336.46051025390625,334.2424645996094,331.0845690917969,327.06201171875,351.5455017089844,360.8815002441406,397.8982467651367,373.1944885253906,363.3259506225586,394.12621203710376,332.52568920801343,-139407392.0
